Id_photo;Cluster
3662547133;1
3662559395;1
3662562603;1
3662584851;1
3662586277;1
3662587097;1
3662587943;1
3662589691;1
3662591493;1
3662598811;1
3662600393;1
3662601357;1
3662603149;1
3662604155;1
3662608237;1
3662609169;1
3662610345;1
3662611209;1
3662613023;1
3662613905;1
3662618093;1
3662620593;1
3662621527;1
3662626055;1
3662627905;1
3662629707;1
3662632329;1
3662633129;1
3662634147;1
3662635061;1
3662637797;1
3662639819;1
3662640855;1
3662641739;1
3662642627;1
3662645063;1
3662645889;1
3662646715;1
3662649059;1
3662649849;1
3662650677;1
3662651489;1
3662653157;1
3662654085;1
3662654913;1
3662657415;1
3662658219;1
3662658961;1
3662660333;1
3662661483;1
3662662247;1
3662662915;1
3663363340;1
3663365808;1
3663366886;1
3663390408;1
3663392344;1
3663394090;1
3663395036;1
3663395916;1
3663396910;1
3663397820;1
3663398720;1
3663399634;1
3663401474;1
3663404282;1
3663407198;1
3663408148;1
3663409108;1
3663414038;1
3663417680;1
3663418520;1
3663419328;1
3663421010;1
3663421828;1
3663424476;1
3663425274;1
3663426204;1
3663429118;1
3663431118;1
3663432942;1
3663438354;1
3663439344;1
3663441370;1
3663445896;1
3663446536;1
3663449714;1
3663450542;1
3663454602;1
3663457870;1
3663458854;1
3663462044;1
3663463356;1
9038524669;2
9038530883;2
9040745264;2
12566067133;2
15885017903;2
4106510158;2
6589548439;3
6589550525;3
6589554549;3
6589558353;3
2826547386;3
2347144521;3
2347972452;3
12577752164;3
4391511939;3
5452928905;3
5453541398;3
6047588157;3
99315626;3
99315642;3
4164235851;3
539077602;3
2427585433;4
2428397228;4
13336751233;4
173270475;4
3686608349;4
3781130127;4
3128207481;4
4117887937;4
4165670401;4
5455134515;4
10786289105;4
10786545145;4
2274616733;4
2274611505;4
2816030452;4
5411524955;4
6248288912;4
6167803218;4
10910084;5
10910114;5
11202406634;5
11202521873;5
3902044555;5
480891605;5
4983300009;5
5257017007;5
2558753380;6
2558754182;6
2941836153;6
2942692580;6
4281925582;6
5918221652;6
7359237418;6
7668114816;6
7668116914;6
11780480754;6
11800476863;6
12061008233;6
1251718354;6
12565345003;6
15836484359;6
15996669506;6
24066808812;6
2467290008;6
12870928205;6
8413382870;6
2705797093;7
2705797799;7
3408011418;7
5611847461;7
2341983619;7
5004132019;7
828455886;7
6764312289;7
6678371209;7
8252182437;8
7399104602;8
7399104800;8
6803501236;8
2422079104;8
5600328227;9
5600908960;9
4246135114;10
4246132416;10
3881284702;10
3132043244;10
2965552360;10
2281434507;10
11649745715;10
4300055611;10
4564563823;10
5433010355;10
5430836021;10
5318027209;10
6171524282;10
8294371990;10
8505083279;10
986225923;10
2993813761;11
2405495711;11
5222352082;11
6820731789;11
3427894803;11
5611847165;11
9950648145;11
9950693414;11
2314169021;12
2314171571;12
2197791384;12
15966732915;12
4023625376;12
6456824;12
11399737104;13
16155269103;13
6855970141;13
3421882346;13
5191391411;13
3370545050;14
3224523926;14
11732900895;14
11022734894;14
16775196565;14
2212367105;14
2277133453;14
367349601;14
4299769925;14
4286070373;14
4342231927;14
4342232223;14
4662142583;14
4939561910;14
8921676196;14
2822230329;14
3917396913;14
5323582937;14
6752003837;14
6248866277;14
6134633595;14
8616557960;15
1237561063;15
1237565223;15
19053690764;15
2960384757;16
11757285944;16
1467573655;16
1663821405;16
1664686948;16
2070535595;16
2071329798;16
169163298;16
1390402185;16
3545961884;16
4098553948;16
4097796039;16
3902826308;16
4229605730;16
4229608164;16
4651463709;16
5199215737;16
6350850085;16
7697447778;16
3351315244;16
4937549822;16
5600330705;17
5600911982;17
5768032664;17
3284562545;17
3490075347;18
3490889084;18
2422078798;18
2523893272;18
2762432280;18
3328457456;18
4581915429;18
4582546472;18
